,Mouse,Nerve Endings,Avg Thickness (points),Max Thickness (points),Avg Thickness (line),Max Thickness (line),Vertices,Edges,Avg Degree,Max Degree,Avg branching size,Max branching size
0,patch_volume_4X_0_pred,78,1.631390191061528,3.1622776985168457,1.510180592807844,2.7201828022260925,298.0,147.0,1.135135135135135,3,3.0,3
1,patch_volume_4X_1_pred,101,1.9210636538623493,4.0,1.8678511588787816,2.975067675113678,298.0,182.0,1.2459016393442623,5,3.142857142857143,5
2,patch_volume_4X_2_pred,43,1.6133350629454122,3.0,1.5568374054207148,3.0,298.0,76.0,1.1948051948051948,4,3.142857142857143,4
3,patch_volume_4X_3_pred,207,1.7192810487692944,3.605551242828369,1.6953844962367381,2.834843635559082,298.0,362.0,1.2617079889807163,4,3.0652173913043477,4
